nome_produto,url,categoria,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
Vitao Cocada Ao Leite Zero Adição de Açúcares,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cocada-ao-leite-zero-adi%C3%A7%C3%A3o-de-a%C3%A7%C3%BAcares/1-por%C3%A7%C3%A3o,Produto Vitao,20,57,7.4,1.1,1.8,1.2,0.0,0.0,20
Vitao Semente de Linhaça Marrom,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/semente-de-linha%C3%A7a-marrom/1-colher-de-sopa,Produto Vitao,15,80,4.3,2.7,6.3,0.5,4.1,0.0,0
Vitao Extrato de Soja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/extrato-de-soja/2-colheres-de-sopa,Produto Vitao,30,141,7.8,11.0,7.0,1.4,0.7,0.0,18
Vitao Amaranto em Flocos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/amaranto-em-flocos/1-2-xicara,Produto Vitao,45,159,32.0,7.0,3.2,0.6,0.0,0.0,0
Vitao Proteína de Soja Média,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/prote%C3%ADna-de-soja-m%C3%A9dia/1-por%C3%A7%C3%A3o,Produto Vitao,50,170,15.0,26.0,0.6,0.1,8.0,0.0,8
Vitao Chocolate Meio Amargo Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-meio-amargo-zero/1-unidade,Produto Vitao,22,123,11.0,1.1,8.3,4.9,2.8,0.1,0
Vitao Cookies Integral Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integral-cacau/4-unidades,Produto Vitao,30,129,19.0,2.1,5.2,0.8,1.3,0.0,35
Vitao Fécula de Mandioca,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/f%C3%A9cula-de-mandioca/2-colheres-de-sopa,Produto Vitao,20,66,16.0,0.0,0.0,0.0,0.0,0.0,0
Vitao Geleia de Amora Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/geleia-de-amora-zero/1-colher-de-sopa,Produto Vitao,20,12,3.0,0.0,0.0,0.0,0.7,0.1,7
Vitao Chia em Grãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chia-em-gr%C3%A3os/1-1-2-colher-de-sopa,Produto Vitao,15,54,0.8,2.3,4.6,0.5,5.4,0.8,2
